/*
  Localizable.strings
  MobVDT

  Created by autel on 17/4/25.
  Copyright © 2017年 Autel. All rights reserved.
*/

/********** launch **************/

"Launch_describe" = "随时监控发动机的运行状态和尾气处理系统的工作状态";
"Launch_connect_later" = "稍后连接";
"Launch_connect_MaxiAP" = "连接VCI";
"Launch_purchase" = "立即购买";

/********** VCI Manager **************/
"VCI_not_connected" = "未连接VCI";
"VCI_connected" = "已连接VCI";
"VCI_stopScan" = "停止";
"VCI_startScan" = "扫描";
"VCI_scanning" = "扫描中…";
"VCI_device" = "设备";
"VCI_finish" = "完成";
"VCI_management" = "VCI 管理";
"VCI_bt_not_connected" = "未连接";
"VCI_bt_connected" = "已连接";
"VCI_bt_not_connecting" = "连接中...";
"VCI_open_bt" = "点击打开蓝牙";

/********** Tabbar **************/
"Tab_home" = "首页";
"Tab_live" = "数据流";
"Tab_me" = "个人中心";


/********** DTC **************/
"DTC_title" = "故障码";
"DTC_clear_title" = "清除故障码";
"DTC_startScan" = "开始扫描";
"DTC_stopScan" = "取消扫描";
"DTC_selectAll" = "全选";
"DTC_deselect_all" = "取消全选";
"DTC_select_items_to_scan" = "选择需要扫描的项";
"DTC_fail_to_acquire_vehicle_info" = "车辆信息获取失败?点击获取";
"DTC_items_to_be_scanned" = "需要扫描的项";
"DTC_items_to_be_scanned1" = "需要扫描的项(%ld)";
"DTC_Scanning_DTC" = "正在扫描%@...";
"DTC_reScan" = "扫描";
"DTC_clearAll" = "全部清理";
"DTC_choose_to_clear" = "选择清理";
"DTC_DTCs_in_total" = "共%d个故障码";
"DTC_clear" = "清理";
"DTC_cancel" = "取消";
"DTC_choose_DTC_type" = "选择清理类型";
"DTC_clear_warning" = "警告：执行这个动作会将您汽车上的故障码清除和关闭故障提示灯，但是不能解决你车上的任何故障问题。您确定要执行吗?";
"DTC_Details" = "故障码详情";
"DTC_next" = "下一个";
"DTC_previous" = "上一个";
"DTC_finish_clear" = "完成清理";
"DTC_state_not_scan" = "未扫描";
